Time,Channel A,Channel B
(s),(V),(V)

-49.93259837,5.03937000,0.70866140
-49.93249837,5.03937000,0.70866140
-49.93239837,4.88189000,0.70866140
-49.93229837,4.88189000,0.70866140
-49.93219837,4.72441000,0.70866140
-49.93209837,4.72441000,0.70866140
-49.93199837,4.72441000,0.70866140
-49.93189837,4.56692900,0.70866140
-49.93179837,4.56692900,0.70866140
-49.93169837,4.56692900,0.70866140
-49.93159837,4.40944900,0.70866140
-49.93149837,4.40944900,0.70866140
-49.93139837,4.25196800,0.70866140
-49.93129837,4.25196800,0.70866140
-49.93119837,4.25196800,0.70866140
-49.93109837,4.09448800,0.70866140
-49.93099837,4.09448800,0.70866140
-49.93089837,3.93700800,0.70866140
-49.93079837,3.93700800,0.70866140
-49.93069837,3.93700800,0.70866140
-49.93059837,3.77952800,0.70866140
-49.93049837,3.77952800,0.70866140
-49.93039837,3.77952800,0.70866140
-49.93029837,3.62204700,0.70866140
-49.93019837,3.62204700,0.70866140
-49.93009837,3.46456700,0.70866140
-49.92999837,3.46456700,0.70866140
-49.92989837,3.46456700,0.70866140
-49.92979837,3.30708700,0.70866140
-49.92969837,3.30708700,0.70866140
-49.92959837,3.30708700,0.70866140
-49.92949837,3.14960600,0.70866140
-49.92939837,3.14960600,0.70866140
-49.92929837,2.99212600,0.70866140
-49.92919837,2.99212600,0.70866140
-49.92909837,2.99212600,0.70866140
-49.92899837,2.83464600,0.70866140
-49.92889837,2.83464600,0.70866140
-49.92879837,2.83464600,0.70866140
-49.92869837,2.67716500,0.70866140
-49.92859837,2.67716500,0.70866140
-49.92849837,2.51968500,0.70866140
-49.92839837,2.51968500,0.70866140
-49.92829837,2.51968500,0.70866140
-49.92819837,2.36220500,0.70866140
-49.92809837,2.36220500,0.70866140
-49.92799837,2.36220500,0.70866140
-49.92789837,2.20472400,0.70866140
-49.92779837,2.20472400,0.70866140
-49.92769837,2.04724400,0.70866140
-49.92759837,2.04724400,0.70866140
-49.92749837,2.04724400,0.70866140
-49.92739837,1.88976400,0.70866140
-49.92729837,1.88976400,0.70866140
